"POLICY NAME"                                                           , "Y/N/M", "POLICY DETAILS"
"Leased Land"                                                           , "Y"    , "Not allowed. Properties on leased land (or life-lease arrangements) are not financed through Meridian’s broker channel."
"Lending Areas"                                                         , "M"    , "Ontario only (implied). Meridian’s broker mortgages are for properties in Ontario. (Their portability feature is limited to Ontario properties, indicating they lend only within Ontario.)"
"Maximum Acreage"                                                       , "Y"    , "Meridian will lend on a property with land, but will only consider up to 10 acres of land value. Appraisals for rural properties are to include a maximum of 10 acres (any extra acreage beyond 10 is excluded)."
"Maximum Number of Doors"                                               , "Y"    , "Up to 4 units. Meridian’s residential program allows properties up to 4 units (e.g., duplex, triplex, fourplex). They do not finance apartment buildings larger than 4 units in the residential channel."
"Maximum Number of Properties"                                          , "N"    , "(Not specified in the provided document.)"
"Minimum Population Requirement"                                        , "Y"    , "For rural properties, Meridian requires the property to be within 50 km of a town with at least 15,000 population. (They focus on areas with reasonable population density for marketability.)"
"Minimum Square Footage (Condo)"                                        , "Y"    , "Meridian prefers condo units to be 550 sq. ft. or larger. Condo units under 550 sq. ft. outside the GTA require high-ratio insurance regardless of LTV. Within the GTA, units under 550 sq. ft. can be considered without insurance only if they meet strict criteria: Beacon score ≥ 680, a private 3-piece bathroom and kitchen inside the unit (no shared facilities), building age ≤ 10 years, and not a conversion project."
"Minimum Square Footage (House)"                                        , "Y"    , "For freehold houses smaller than 550 sq. ft., Meridian requires that the home have standard living facilities (living area, kitchen, a 3-piece bath, and a separate bedroom with a door). A full appraisal is required, and high-ratio insurance is required regardless of LTV for such small homes."
"Mixed Use (Commercial/Residential)"                                    , "Y"    , "Not in broker channel. Mixed-use properties (part residential, part commercial) are not funded through Meridian’s residential broker program. (These would be considered commercial deals.)"
"Mobile Homes/Modular Homes"                                            , "Y"    , "Restricted. Mobile homes, trailer homes, or properties in mobile home communities are not eligible. Pre-fabricated (modular) homes are only acceptable if they are permanently affixed to land on a proper foundation with all standard services in place."
"Non-Legal Rental Unit Allowed"                                         , "Y"    , "No. Meridian requires any rental units to be legal/conforming. The property’s rental suite must meet municipal zoning and fire code regulations. An illegal or non-conforming rental unit would not be acceptable to Meridian."
"Off Grid Properties"                                                   , "Y"    , "Likely not. Meridian stipulates that all properties must have at least 100 Amp electrical service. A fully off-grid property (without standard power hookup) would not meet this requirement and thus would not qualify."
"Past Foreclosures on Property"                                         , "N"    , "(Not mentioned in the provided document.)"
"Power of Sale Listings"                                                , "Y"    , "Allowed with appraisal. Meridian will consider financing Power of Sale purchases, but a full appraisal is required (and if an appraisal wasn’t originally addressed to Meridian, an exception and re-address letter are needed)."
"Provincial Restrictions"                                               , "N"    , "(Not explicitly mentioned, aside from lending being confined to Ontario.)"
"Rooming Houses"                                                        , "Y"    , "Not allowed. Rooming houses (properties with rented rooms, shared accommodations) are not eligible for Meridian mortgages."
"Rural Properties"                                                      , "Y"    , "Allowed with conditions. Meridian will lend on rural residential properties, but imposes conditions: the property should be near an urban center (within 50 km of a ≥15,000 pop town) and only up to 10 acres of land value is considered. Working farms/hobby farms are excluded."
"Solar Panels"                                                          , "N"    , "(Not mentioned in the provided document.)"
"Student Housing"                                                       , "Y"    , "Not allowed. Properties primarily used as student housing (e.g., student rental houses) are ineligible."
"Tarion Required for New Home Builds"                                   , "N"    , "(Not mentioned in the provided document.)"
"Well/Septic"                                                           , "Y"    , "Yes. Properties on well water and septic systems are acceptable if this is normal for the area. (Standard rural services like well and septic are fine.)"
"Wind Turbines"                                                         , "N"    , "(Not mentioned in the provided document.)"
"Wood Frame Houses"                                                     , "M"    , "Yes. Standard construction homes (e.g. wood-frame houses) are acceptable. Meridian only declines non-conventional construction types (for example, dome houses are explicitly not allowed), so typical wood-frame builds are fine."
"Consent To Release Client Information"                                 , "Y"    , "Meridian does not provide a generic consent form for brokers. Brokers must obtain a signed consent from each client to release information to Meridian. (In short, brokers need the applicants’ written consent, as Meridian won’t supply a separate form for this.)"
"Digital Signing"                                                       , "N"    , "(Not mentioned; presumably accepted via DocuSign but not explicitly stated in this document.)"
"DocuSign"                                                              , "N"    , "(Not mentioned in the provided document.)"
"Gift Letter"                                                           , "Y"    , "Yes. A gift letter or donor’s statement is required to verify any gifted down payment funds. (Meridian requires proof the donor has made the funds available.)"
"Payout Authorization Form"                                             , "N"    , "(Not mentioned in the provided document.)"
"Penalty Calculator"                                                    , "N"    , "(Not mentioned in the provided document.)"
"Pre-Authorized Debit Agreement"                                        , "N"    , "(Not mentioned in the provided document.)"
"Tax Application Form"                                                  , "N"    , "(Not mentioned in the provided document.)"
"NICHES"                                                                , "N"    , "(No specific niche programs detailed beyond the above.)"
