Y/N/M, POLICY NAME                                                           , POLICY DETAILS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            , PROVED TO BE TRUE (Y/N)
Y    , BFS (CMHC Program)                                                    , Meridian does not compensate brokers for commercial / small business referrals.
Y    , Taxable Other                                                         , "Pre-fabricated Homes, unless already fully affixed to the land and 100% of services in place. Previous Grow-Ops, whether remediated or not. Hotel Condos."
N    , Trust (Income)                                                        , 
Y    , WSIB (Income)                                                         , "The document explicitly mentions the requirement for high ratio insurance for certain properties, such as Condos of less than 550 Sq. Ft. outside the GTA. This is a clear statement of policy related to WSIB income."
M    , EXPENSE PAYMENT CALCULATIONS                                          , "The calculation of expenses for appraisals involves using an Automated Valuation Model (AVM) to determine property values, which allows Meridian Credit Union to save their clients money by being more flexible in their appraisal policies."
M    , Alimony (Expense)                                                     , Alimony and/or spousal support as an expense may be included in the Total Debt to Equity (TDE) ratio calculation.
M    , Calculate Debt Payments as Stated on Credit Bureau                    , "For unsecured Lines of Credit and Credit Cards, the payment used for debt servicing will be the greater of 3% of the outstanding balance or the payment reported on the credit bureau."
Y    , Calculate Debt Payments at BoC Rate Over 25 Years                     , "The policy states that for insurable mortgages and Flex Line arrangements, the qualifying rate must be the greater of 5.25% Benchmark rate or Contract Rate plus 2%."
M    , Calculate Debt Payments at the Total Limit                            , The payment used for debt servicing will be based on the approved limit amortized over 25 years at the 5 year contract rate.
Y    , Calculate Debt Payments on Unsecured Loans                            , "For unsecured Lines of Credit and Credit Cards, the payment used for debt servicing will be the greater of 3% of the outstanding balance or the payment reported on the credit bureau."
Y    , Child Support (Expense) deducted from Income                          , Child support expenses are deducted from income.
M    , Closing Costs Calculation                                             , Each 5bps buy down will cost 20bps reduction in commissions. Interest Rate Buy downs are permitted however in all cases the borrower must qualify for the mortgage under normal Gross Debt Service (GDS) and Total Debt Service (TDS) ratio requirement at current rates for the term. Rate buy down request must accompany the application to the underwriting unit.
M    , Condo Fee Calculation                                                 , "The calculation of condo fees and how they are included in the total debt service (TDS) ratio for mortgage qualification purposes. The document mentions that 'each 5bps buy down will cost 20bps reduction in commissions' which is a procedure related to underwriting and mortgage approval processes, implying a policy on how such fees are calculated and considered in the overall assessment."
M    , Heat Calculation                                                      , Outside of the GTA Condos of less than 550 Sq. Ft. will require high ratio insurance regardless of LTV Within GTA Condos of less than 550 Sq.
Y    , OSAP (3% or Payment on Credit Bureau)                                 , The policy involves calculating OSAP payments as 3% of the loan balance or through payment reporting from the credit bureau. This method affects how student loans are serviced in Ontario.
N    , Property Tax Calculation                                              , The document does not mention 'Property Tax Calculation' explicitly or provide clear information related to it.
M    , Secured Revolving Debt Payments (HELOC)                               , "For Secured Lines of Credit, the payment used for debt servicing will be based on the approved limit amortized over 25 years at the 5 year contract rate"
M    , Shelter Costs                                                         , "The document mentions that properties such as hotels, condos of less than 550 sq. ft., and other specified types require high ratio insurance regardless of LTV. This implies a policy related to shelter costs, where certain housing types may have higher associated costs or requirements."
M    , Student Loans (Expense)                                               , Student Lines of Credit Greater of 3% of the outstanding balance or the payment reported on the credit bureau Student Loans on repayment monthly contract payment as disclosed on the credit bureau Government Student Loans not on repayment future monthly contract payment as per the Government Loan Repayment Estimator
M    , Student LOC (3% or Payment on Credit Bureau)                          , "Student Housing and Rentals fall under Meridian’s policies, which require adherence to specific guidelines for approval. The document mentions student housing/rentals as one of the property types, indicating that there is a related policy in place."
M    , MORTGAGE INFORMATION                                                  , "The document discusses various mortgage-related policies such as the handling of pre-fabricated homes, hotel condos, and other types of properties. It mentions the requirements for these properties, including square footage, ownership status, and access details. Additionally, it refers to insurance policies for certain condo units and the processing of commercial or small business applications through specific channels."
M    , 2nd Mortgage Allowed Behind You                                       , "The document mentions 'Non-Qualifying mortgage properties' which include Commercial, Mixed Use Properties or Properties in a Business or Holding Co name. This suggests that Meridian does not process these through the Broker Channel and instead refers them to businessreferrals@meridiancu.ca. However, this doesn't explicitly state a '2nd Mortgage Allowed Behind You' policy. Therefore, it's only an indirect reference."
M    , 2nd Mortgages (Lender Arranged)                                       , "When 2 appraisals are completed, Meridian will base the lending value on the lower of the two values. Appraisals Most conventional mortgage & Line of Credit requests must be supported by an appraisal. Brokers are responsible for the cost of the appraisal report."
N    , 2nd Position HELOCs                                                   , 
M    , 3rd Mortgage Allowed Behind You                                       , "Pre-fabricated Homes, unless already fully affixed to the land and 100% of services in place. Previous Grow-Ops, whether remediated or not. Hotel Condos. Outside of the GTA Condos of less than 550 Sq. Ft. will require high ratio insurance regardless of LTV Within GTA Condos of less than 550 Sq."
M    , Assignments                                                           , "Properties eligible for Assignment Sales include single-family detached and semi-detached homes, townhouses, and row houses in freehold ownership. These properties must be owner-occupied and meet the minimum square footage requirement for live-work condos."
M    , Assumable                                                             , "The ability to 'assume' an existing mortgage as part of a new financing transaction was discussed in the context of conventional mortgage & Line of Credit requests. While it is not explicitly stated, the use of Automated Valuation Model (AVM) Reports and the mention of Underwriter discretion suggests that there may be circumstances where such an assumption could be allowed or required."
M    , Blend and Extend                                                      , The VRM Mortgages are eligible for payout prior to maturity with a 3 months interest prepayment charge. Documentation requirements Application documents are to be uploaded to the Document Portal.
Y    , Bridge Financing                                                      , "Bridge financing is Available and offered through Broker Channel. If known at the time of submission, kindly note bridge financing is required. Meridian requires notice of bridge financing requirement a minimum of 15 business day prior to the new Purchase close date. Rate starts @ Meridian Prime + 2%. Application fee of $250. Maximum 90 days bridge financing offered."
M    , Change Payment Arrangement                                            , "No explicit mention of 'Change Payment Arrangement' found. However, procedures related to payment adjustments could imply this policy exists."
M    , Credit Lines/HELOCs                                                   , 
N    , Free Home Warranty                                                    , 
N    , Holding Companies                                                     , No clear mention of a 'Holding Companies' policy found in the provided text.
Y    , Compounded Period for Variable                                        , The penalty calculation is based on the Floor/Posted rate for the existing mortgage and the Posted rate at the time of the payout for the years left to maturity.
Y    , Insured Switch/Transfer                                               , Outside of the GTA Condos of less than 550 Sq. Ft. will require high ratio insurance regardless of LTV Within GTA Condos of less than 550 Sq.
M    , Max Rate Holds (Days)                                                 , Meridian does not underwrite pre-approvals at all; rate holds are for 120 days only.
M    , Maximum Amortization (25 years)                                       , The payment used for debt servicing will be based on the approved limit amortized over 25 years at the 5 year contract rate.
M    , Maximum Amortization (30 years)                                       , "Insurable Mortgages must qualify at the greater of 5.25% Benchmark or Contract Rate plus 2%, over 25 years."
M    , Maximum Amortization (35 years)                                       , "Insurable Mortgages must qualify at the greater of 5.25% Benchmark or Contract Rate plus 2%, over 25 years."
M    , Maximum Amortization (40 years)                                       , "Uninsurable Mortgages offer a 30 year amortization, with the exception of 2nd position mortgages behind an existing Meridian 1st mortgage which have a maximum amortization of 25 years."
Y    , Maximum Equity Take-Out ($)                                           , A 10% maximum variance (higher or lower) is permitted for the mortgage amount.
M    , Maximum Loan to Value 1st Mortgage                                    , "Meridian reserves the right to limit LTV regardless of these guidelines. The overall mortgage limit is capped at $2,250,000. High end property policy... Maximum Mortgage amount of $2.25 MM Maximum LOC amount of $1.25 MM ... Condo mortgages over $1 MM on a case-by-case basis"
M    , Maximum Loan to Value 2nd or 3rd Mortgages                            , "The Loan-to-Value ratio is defined as the sum of the mortgage loan together with all prior ranking mortgages, divided by the lesser of the appraised value or purchase price of the property. This clearly indicates that there are limits on how much of the property value can be covered by multiple mortgages (including second or third mortgages)."
Y    , Maximum Mortgage Amount                                               , "Meridian reserves the right to limit LTV regardless of these guidelines. The overall mortgage limit is capped at $2,250,000."
M    , Minimum Mortgage Amount                                               , The borrower must qualify for the mortgage under normal Gross Debt Service (GDS) and Total Debt Service (TDS) ratio requirement at current rates for the term.
N    , Mininimum Amortization (years)                                        , 
M    , Mortgage Registration Type                                            , "No explicit mention of 'Mortgage Registration Type' in the provided text. However, within the document, there are references to various property types and associated policies such as 'high ratio insurance' which could be related to mortgage registration type."
Y    , Mortgage Reports to Credit Bureau                                     , "Most conventional mortgage & Line of Credit requests must be supported by an appraisal. However, in some cases an Automated Valuation Model (AVM) Report may be considered in lieu of a full appraisal dependent on purchase price, beacon score and LTV (see below). Full Appraisal may be required at Underwriter's discretion or where the purchase price does not fall within the low to high range of the AVM report."
Y    , New Home Rate Hold Guarantee                                          , "Only one valid rate hold can be held. If multiple rate holds are submitted, the most recent rate hold will override any previous rate holds. If any of the below criteria are not met, the application will receive prevailing rates as of the live deal submission date."
M    , Payment Frequency Options                                             , "The document mentions several types of properties, such as 'Pre-fabricated Homes,' 'Rooming Houses,' 'Student Housing/Rentals,' and others. However, the term 'Payment Frequency Options' is not directly mentioned in the provided text."
M    , Penalty Calculations for Breaking Mortgage                            , "The penalty calculation is based on the Floor/Posted rate for the existing mortgage and the Posted rate at the time of the payout for the years left to maturity. This is in line with Variable Rate Mortgage (VRM) features which allow blending and extending, porting to another property, and prepayment with a 3-month interest charge."
M    , Portable                                                              , "The mention of 'portable' in the context of homes and properties indicates a potential portability policy. However, there is no explicit statement of such a policy in the provided text."
M    , Prepayment Options                                                    , Members are able to take advantage of our 20 / 20 prepayment privilege which allows them to increase the regular payment by up to 20% per year or to make lump sum payments (min $100) on their payment date to a max of 20% per year. The aggregate of the 2 prepayment options cannot exceed 20% per calendar year.
M    , Private Purchases                                                     , "The document refers to properties such as 'pre-fabricated homes,' 'hotel condos,' 'rooming houses,' and others, which may imply that private purchases are allowed or regulated in specific contexts."
M    , Rate Buy-Down Information                                             , Each 5bps buy down will cost a 20bps reduction in commissions. This clearly relates to the Rate Buy-Down Information policy as it discusses the financial impact of interest rate buy-downs on broker commissions.
M    , Rate Drop Policy                                                      , "The policy allows for a rate hold on approved deals, requiring approval and funding within 120 days. It specifies the process for submitting Rate Holds with accurate inputs and conditions."
N    , Skip a Payment                                                        , "No mention of a skip-a-payment option, payment holiday, defer payment, or similar in the provided text."
M    , Sliding Scale                                                         , Outside of the GTA Condos of less than 550 Sq. Ft. will require high ratio insurance regardless of LTV Within GTA Condos of less than 550 Sq. Ft. can be entertained without High Ratio insurance as long as the following is met: Minimum beacon score of 680+ Units must include a private (walled) 3 pc bathroom (min.) and in-unit designated kitchen/kitchenette area (not shared with any other units).
M    , Unsecured Line of Credit                                              , Student Lines of Credit Greater of 3% of the outstanding balance or the payment reported on the credit bureau
N    , Value Added Products                                                  , 
M    , Variable-Rate to Fixed-Rate Conversion                                , "The document mentions Variable Rate Mortgages (VRM) which can be refinanced with Meridian Credit Union through a blend and extend method. Additionally, VRM Mortgages are eligible for payout prior to maturity with a 3 months interest prepayment charge."
M    , VRM and/or ARMs                                                       , VRM Mortgages are eligible for payout prior to maturity with a 3 months interest prepayment charge.
M    , What Rate Are Penalties Calculated At                                 , "The penalty calculation is based on the Floor/Posted rate for the existing mortgage and the Posted rate at the time of the payout for the years left to maturity. This clearly indicates that penalties are calculated using specific rates, which aligns with the policy of using a reference rate for penalty calculations."
M    , PROPERTY                                                              , "The policy regarding 'PROPERTY' is implied through the mention of various property types that qualify for consideration. These include Pre-fabricated Homes, Previous Grow-Ops, Hotel Condos, Working farms/Hobby Farms (which do not qualify), and others. The property must be within 50 km of an urban centre with a population of at least 15,000."
M    , Agricultural/Agricultural Zoning                                      , "Properties used for agricultural purposes do not qualify. Working farms and hobby farms are explicitly excluded. The property must be within 50 km of an urban centre with a population of at least 15,000."
M    , AirBnB/Short Term Rental Properties                                   , "The document lists types of properties such as 'Hotel Condos', 'Live/Work properties', and 'Non-conventional construction (e.g., dome houses)'. While not explicitly stated, these categories are often related to short-term rental properties. For example, hotel condos are commonly used for short-term rentals, and live/work properties may allow some form of short-term usage as well."
N    , Commercial                                                            , 
M    , Compostable Toilets                                                   , "Compostable toilets are not explicitly mentioned in the provided document. However, there are references to various types of housing and property uses, such as pre-fabricated homes, hobby farms, converted churches, and short-term rentals, which may imply a comprehensive policy on acceptable property types that could include compostable toilets as part of their requirements or procedures."
Y    , Farms                                                                 , "Working farms/Hobby Farms do not qualify. Property must be within 50 km s or urban centre (Pop. 15,000)."
M    , Grow Ops                                                              , "Previous Grow-Ops, whether remediated or not."
M    , Heritage Buildings                                                    , "Converted Churches/Schoolhouses, Historically designated properties."
Y    , Hobby Farms                                                           , "Hobby Farms, including those with horses or other livestock, or even if the land is farmed by someone else."
M    , Hotel Condos                                                          , "Hotel Condos are defined as pre-fabricated homes, unless already fully affixed to the land and 100% of services in place. They also include Hotel Condos, which fall under specific categories such as Rooming Houses, Student Housing/Rentals, Bed & Breakfast, Mobile Homes, Trailer and Resort-style properties (e.g., mobile home/adult lifestyle communities). Within GTA Condos of less than 550 Sq. Ft. will require high ratio insurance regardless of LTV within GTA Condos of less than 550 Sq. Ft."
N    , Island Properties                                                     , 
M    , Laneway Housing                                                       , Laneway/Carriage Homes must meet all of the following parameters: Main home and laneway home to be on same Property Identification Number (PIN) Conforms to zoning (all applicable permits are in place). Appraiser to comment on conformity to zoning. Self-contained with a complete functional kitchen and bathroom and year-round heating source.
M    , Leased Land                                                           , Meridian does not compensate brokers for commercial / small business referrals. Co-operative Housing (Co-Ops) and Co-Ownerships Raw / Vacant Land. Leased Land / Life Leased properties.
M    , Lending Areas                                                         , The policy refers to properties located outside of the GTA requiring high ratio insurance regardless of loan-to-value. This implies a lending area restriction based on geographical location.
M    , Maximum Acreage                                                       , "For properties situated on acreage (rural residential), appraisal report to include a maximum of 10 acres plus dwelling and no out buildings."
M    , Maximum Number of Doors                                               , "The mention of 'Single Family with conforming rental component, Duplex, triplex and 4-plex buildings' implies a limit on the number of units in a property. This aligns with the 'Maximum Number of Doors' policy."
Y    , Maximum Number of Properties                                          , "Residential properties such as single-family detached and semi-detached homes, townhouses, row houses (freehold) are allowed. The number of such properties financed is not specified in the document."
M    , Minimum Population Requirement                                        , "Property must be within 50 km of an urban centre (Pop. 15,000)."
M    , Minimum Square Footage (Condo)                                        , "Condo properties of less than 550 Sq. Ft. outside GTA can be entertained without High Ratio insurance as long as specific criteria are met (Minimum beacon score of 680+; units must include a private (walled) 3 pc bathroom and in-unit designated kitchen/kitchenette area; no more than 10 years old; non-condo properties smaller than 550 Sq. Ft. require separate bedroom with door, etc.)."
M    , Minimum Square Footage (House)                                        , Residential properties must be Owner Occupied. Single family detached and semi-detached. Single family townhouses and row houses (freehold).
M    , Mixed Use (Commercial/Residential)                                    , "The document mentions 'Live/Work properties (regardless of % split between live & work)' and 'Non-conventional construction (eg dome houses)'. These references imply the presence of mixed-use properties where both commercial and residential uses are permitted. The mention of 'live-work units' directly relates to mixed-use zoning, supporting the inference that such policies exist within the document."
Y    , Mobile Homes/Modular Homes                                            , "Mobile Homes/Modular Homes. Prefabricated homes, unless already fully affixed to the land and 100% of services in place."
M    , Non-Legal Rental Unit Allowed                                         , "The document lists various types of properties, such as 'Non-conventional construction (eg dome houses)'. This indicates that non-traditional housing structures are allowed. Further, it mentions 'Live/Work properties (regardless of % split between live & work)' which implies the ability to rent out part of a live/work space. These mentions suggest that there's an allowance for non-legal rental units within certain property types."
M    , Off Grid Properties                                                   , "Mobile homes, Trailer and Resort-style properties (eg mobile home/adult lifestyle communities)."
Y    , Past Foreclosures on Property                                         , "Previous Grow-Ops, whether remediated or not."
M    , Power of Sale Listings                                                , "The document does not explicitly mention 'Power of Sale Listings,' but implicitly references it through examples like 'Hotel Condos,' 'Residential properties Owner Occupied,' and 'Live/Work properties.' These categories suggest that specific property types might be eligible for power of sale listings, implying a related policy."
M    , Provincial Restrictions                                               , Meridian does not process Commercial or Small Business applications through the Broker Channel. You can email businessreferrals@meridiancu.ca for more information.
Y    , Rooming Houses                                                        , "Rooming Houses, Student Housing/Rentals. Bed & Breakfast. Mobile Homes, Trailer and Resort-style properties (eg mobile home/adult lifestyle communities)."
M    , Rural Properties                                                      , Rural properties are not explicitly mentioned in the document.
M    , Solar Panels                                                          , The document does not explicitly mention solar panels but implies a policy related to their installation or use in residential properties through references like 'Live/Work properties (regardless of % split between live & work)' and mentions of 'Non-conventional construction (eg dome houses)'.
M    , Student Housing                                                       , "The document includes a list of properties that are considered 'Student Housing/Rentals.' This list includes Mobile Homes, Trailer and Resort-style properties, and Live/Work properties. The term 'Student Housing' is not explicitly mentioned but is clearly referenced through the context of rental housing intended for students."
Y    , Tarion Required for New Home Builds                                   , All buildings with a rental component must meet all applicable municipal Fire Code Regulations and Zoning By-Laws.
Y    , Well/Septic                                                           , Well/Septic: All properties must have a well and septic system in place. The well must be inspected annually by a licensed inspector.
M    , Wind Turbines                                                         , "Hobby Farms, including those with horses or other livestock, or even if the land is farmed by someone else. Converted Churches/Schoolhouses, Historically designated properties."
M    , Wood Frame Houses                                                     , "Properties that are pre-fabricated homes, unless already fully affixed to the land and 100% of services in place."
M    , FORMS                                                                 , "The document specifies certain property types where pre-fabricated homes, previous grow-ops, hotel condos, rooming houses, student housing/rentals, bed & breakfastes, and mobile homes (including trailer and resort-style properties) are mentioned. These descriptions imply that Meridian has specific underwriting criteria or policies in place for these types of properties."
N    , Consent To Release Client Information                                 , 
M    , Digital Signing                                                       , "Most conventional mortgage & Line of Credit requests must be supported by an appraisal. However, in some cases an Automated Valuation Model (AVM) Report may be considered in lieu of a full appraisal dependent on purchase price, beacon score and LTV (see below). Full Appraisal may be required at Underwriter's discretion or where the purchase price does not fall within the low to high range of the AVM report."
M    , DocuSign                                                              , "Most conventional mortgage & Line of Credit requests must be supported by an appraisal. However, in some cases an Automated Valuation Model (AVM) Report may be considered in lieu of a full appraisal dependent on purchase price, beacon score and LTV (see below). Full Appraisal may be required at Underwriter s discretion or where the purchase price does not fall within the low to high range of the AVM report."
M    , Gift Letter                                                           , "Most conventional mortgage & Line of Credit requests must be supported by an appraisal. However, in some cases an Automated Valuation Model (AVM) Report may be considered in lieu of a full appraisal dependent on purchase price, beacon score and LTV (see below). Full Appraisal may be required at Underwriter's discretion or where the purchase price does not fall within the low to high range of the AVM report."
M    , Payout Authorization Form                                             , Members are able to take advantage of our 20 / 20 prepayment privilege which allows them to increase the regular payment by up to 20% per year or to make lump sum payments (min $100) on their payment date to a max of 20% per year. The aggregate of the 2 prepayment options cannot exceed 20% per calendar year.
M    , Penalty Calculator                                                    , The penalty calculation is based on the Floor/Posted rate for the existing mortgage and the Posted rate at the time of the payout for the years left to maturity Variable Rate Mortgages (VRM) Features of the Variable Rate Mortgage (VRM) Refinance with Meridian Credit Union by a blend and extend (blending of decrement) Port the mortgage to another property. VRM Mortgages are eligible for payout prior to maturity with a 3 months interest prepayment charge.
M    , Pre-Authorized Debit Agreement                                        , "Prepayment privileges allow members to increase their regular payment by up to 20% per year or make lump sum payments of at least $100, not exceeding 20% annually. This is related to the Pre-Authorized Debit Agreement, which allows automatic deductions from a member's account."
M    , Tax Application Form                                                  , "Properties eligible for tax incentives include rooming houses, student housing/rentals, bed & breakfasts, mobile homes (including adult lifestyle communities), pre-fabricated homes (unless fully affixed and services are in place), previous grow-ops (whether remediated or not), hotel condos, and residential properties that are owner-occupied. Working farms and hobby farms do not qualify. Properties must be within 50 km of an urban center with a population of at least 15,000."
M    , NICHES                                                                , "There are references to policies related to 'NICHES' indirectly. For example, the mention of properties not qualifying as pre-fabricated homes, hotel condos, etc., suggests that Meridian has specific criteria for certain types of properties which could relate to their niche property policies. Additionally, the requirement about unit sizes and access (laneway/driveway) also hints at niche property definitions."
